Image;AlgoPalette;AlgoEcosysteme;FlouRayon;KMeans_K;DBSCAN_Eps;DBSCAN_MinPts;HAC_K;TempsTotal_ms
Planete_3.jpg;K-Means (k=10);HAC (k=20);5;10;N/A;N/A;20;18101
Planete_3.jpg;K-Means (k=15);DBSCAN (eps=3.0, minPts=20);5;15;3.0;20;N/A;2550385
Planete_3.jpg;K-Means (k=15);DBSCAN (eps=3.0, minPts=50);5;15;3.0;50;N/A;1894713
Planete_3.jpg;K-Means (k=15);DBSCAN (eps=5.0, minPts=20);5;15;5.0;20;N/A;3883400
Planete_3.jpg;K-Means (k=15);DBSCAN (eps=5.0, minPts=50);5;15;5.0;50;N/A;2803820
Planete_3.jpg;K-Means (k=15);HAC (k=10);5;15;N/A;N/A;10;18976
Planete_3.jpg;K-Means (k=15);HAC (k=20);5;15;N/A;N/A;20;18830
Planete_3.jpg;K-Means (k=20);DBSCAN (eps=3.0, minPts=20);5;20;3.0;20;N/A;2386164
Planete_3.jpg;K-Means (k=20);DBSCAN (eps=3.0, minPts=50);5;20;3.0;50;N/A;887522
Planete_3.jpg;K-Means (k=20);DBSCAN (eps=5.0, minPts=20);5;20;5.0;20;N/A;4325220
Planete_3.jpg;K-Means (k=20);DBSCAN (eps=5.0, minPts=50);5;20;5.0;50;N/A;2152451
Planete_3.jpg;K-Means (k=20);HAC (k=10);5;20;N/A;N/A;10;20558
Planete_3.jpg;K-Means (k=20);HAC (k=20);5;20;N/A;N/A;20;20495
